"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2019,"IV",FALSE,"Згвалтування, ст.152","152",277,0,0,NA,205,119,1,5,3,71,66,44,9,6,1,8,50,130,17,202,3,3,0,0,0
2019,"IV",FALSE,"Сексуальне насильство, ст.153","153",30,0,0,NA,23,14,0,0,0,5,9,6,2,1,0,3,6,12,2,23,0,0,0,0,0
2019,"IV",FALSE,"Розбещення неповнолітніх, ст.156","156",86,0,0,NA,68,31,0,0,1,10,21,24,4,8,0,9,17,39,3,68,0,0,0,0,0
2019,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V КК України)",NA,2479,0,0,NA,2408,67,3,1,17,416,1057,742,97,75,243,196,667,1517,28,2391,15,14,2,1,0
2019,"V",FALSE,"Порушення рівноправності громадян залежно від їх расової, національної належності, релігійних переконань, інвалідності та за іншими ознаками, ст.161","161",3,0,0,NA,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0
2019,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст.164","164",940,0,0,NA,928,1,0,0,0,116,533,272,7,0,54,56,346,523,3,927,1,1,0,0,0
2019,"V",FALSE,"Перешкоджання законній професійній діяльності журналістів, ст.171","171",17,0,0,NA,10,0,0,0,0,4,3,3,0,0,0,3,0,7,0,10,0,0,0,0,0
2019,"V",FALSE,"Невиплата заробітної плати, стипендії, пенсії чи інших установлених  законом виплат, ст.175","175",18,0,0,NA,17,0,0,0,0,0,2,10,2,3,0,14,3,0,0,17,0,0,0,0,0
2019,"V",FALSE,"Порушення авторського права і суміжних прав, ст.176","176",8,0,0,NA,6,0,0,0,0,3,2,1,0,0,0,3,0,3,0,6,0,0,0,0,0
2019,"V",FALSE,"Порушення прав на винахід, корисну модель, промисловий зразок, топографію інтегральной мікросхеми, сорт рослин, раціоналізаторську пропозицію, ст.177","177",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VI",TRUE,"Злочини проти власності (р. VІ КК України)",NA,59609,0,33,NA,55763,5551,133,943,1494,15861,22703,12063,1437,1129,8444,3721,12473,37705,1864,54914,759,460,90,32,3
2019,"VI",FALSE,"Крадіжка, ст.185","185",47644,0,10,NA,45550,3231,122,790,1155,12345,18732,10218,1253,935,6875,2512,10215,31327,1496,44929,547,329,74,21,2
2019,"VI",FALSE,"Грабіж, ст.186","186",5562,0,3,NA,5157,1683,11,127,254,1930,2078,685,36,36,239,214,1100,3582,261,5017,133,71,7,8,1
2019,"VI",FALSE,"Розбій, ст.187","187",1656,0,12,NA,1247,773,1,33,59,537,438,163,10,6,34,62,231,889,65,1188,55,37,4,2,0
2019,"VI",FALSE,"Вимагання, ст.189","189",320,0,1,NA,176,62,0,2,13,78,63,18,2,0,4,27,25,120,4,168,6,6,2,0,0
2019,"VI",FALSE,"Шахрайство, ст.190","190",4273,0,1,NA,3783,163,0,11,54,1130,1568,825,94,101,1105,599,919,2189,76,3754,25,20,4,1,0
2019,"VI",FALSE,"Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем, ст.191","191",824,0,5,NA,575,3,0,0,0,132,197,185,31,30,211,288,108,178,1,573,2,2,0,0,0
2019,"VI",FALSE,"Умисне знищення або пошкодження майна, ст.194","194",166,0,1,NA,117,35,0,1,3,35,44,26,5,3,8,14,26,74,3,117,0,0,0,0,0
2019,"VI",FALSE,"Самовільне зайняття земельної ділянки та самовільне будівництво, ст.197-1","197-1",147,0,0,NA,138,0,0,0,0,10,32,60,14,22,14,43,49,46,0,137,1,1,0,0,0
2019,"VII",TRUE,"Злочини у сфері господарської діяльності (р. VІІ КК України)",NA,1288,0,7,NA,1093,5,0,0,0,266,395,300,64,68,232,328,241,506,18,1080,13,10,0,0,1
2019,"VII",FALSE,"Виготовлення, зберігання, придбання, перевезення, пересилання, ввезення в Україну з метою використання при продажу товарів, збуту або збут підроблених грошей, державних цінних паперів, білетів державної лотереї, марок акцизного податку чи голографічних захисних елементів, ст.199","199",53,0,0,NA,29,2,0,0,0,6,16,4,1,2,3,5,10,12,2,28,1,1,0,0,0
2019,"VII",FALSE,"Незаконні дії з документами на переказ, платіжними картками та іншими засобами доступу до банківських рахунків, електронними грошима, обладнанням для їх виготовлення, ст.200","200",40,0,0,NA,26,2,0,0,0,9,13,4,0,0,13,14,1,11,0,26,0,0,0,0,0
2019,"VII",FALSE,"Зайняття гральним бізнесом, ст.203-2","203-2",27,0,0,NA,8,0,0,0,0,2,6,0,0,0,3,6,1,1,0,8,0,0,0,0,0
2019,"VII",FALSE,"Незаконне виготовлення, зберігання, збут або транспортування з метою збуту підакцизних  товарів, ст.204","204",207,0,0,NA,175,0,0,0,0,32,53,62,15,13,24,57,38,79,1,170,5,5,0,0,0
2019,"VII",FALSE,"Фіктивне підприємництво, ст.205","205",245,0,6,NA,247,0,0,0,0,84,88,62,7,6,63,58,57,126,6,245,2,1,0,0,1
2019,"VII",FALSE,"Підроблення документів, які подаються для проведення державної реєстрації юридичної особи та фізичних осіб-підприємців, ст.205-1","205-1",230,0,0,NA,222,0,0,0,0,75,83,46,9,9,60,44,67,111,0,222,0,0,0,0,0
2019,"VII",FALSE,"Протиправне заволодіння майном підприємства, установи, організації, ст.206-2","206-2",29,0,0,NA,9,0,0,0,0,1,5,1,0,2,1,9,0,0,0,9,0,0,0,0,0
2019,"VII",FALSE,"Легалізація (відмивання) доходів, одержаних злочинним шляхом, ст.209","209",93,0,0,NA,39,0,0,0,0,7,17,10,1,4,8,25,3,11,0,38,1,0,0,0,0
2019,"VII",FALSE,"Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням, ст.210","210",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VII",FALSE,"Видання нормативно-правових актів, що зменшують надходження бюджету або збільшують витрати бюджету всупереч закону, ст.211","211",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VII",FALSE,"Ухилення від сплати податків, зборів (обов'язкових платежів), ст.212","212",100,0,1,NA,96,0,0,0,0,9,33,37,7,10,18,82,3,11,0,94,2,1,0,0,0
2019,"VII",FALSE,"Порушення порядку здійснення операцій з металобрухтом, ст.213","213",200,0,0,NA,197,0,0,0,0,33,74,60,20,10,26,8,59,121,9,196,1,1,0,0,0
2019,"VII",FALSE,"Доведення банку до неплатоспроможності, ст.218-1","218-1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VII",FALSE,"Порушення порядку ведення бази даних про вкладників або порядку формування звітності, ст.220-1","220-1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VII",FALSE,"Фальсифікація фінансових документів та звітності фінансової організації, приховування неплатоспроможності фінансової установи або підстав для відкликання (анулювання) ліцензії фінансової установи, ст.220-2","220-2",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VII",FALSE,"Шахрайство з фінансовими ресурсами, ст.222","222",38,0,0,NA,37,0,0,0,0,4,9,12,1,11,11,13,9,15,0,37,0,0,0,0,0
2019,"VII",FALSE,"Підроблення документів, які подаються для реєстрації випуску цінних паперів, ст.223-1","223-1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
