"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2023,"XI",TRUE,"Кримінальні правопорушення проти безпеки руху та експлуатації транспорту  (р. XІ Кримінального кодексу України )",NA,101,39,3,6,6,252,23,132,76
2023,"XI",FALSE,"Порушення правил безпеки руху або експлуатації залізничного, водного чи повітряного транспорту, ст. 276","276",0,0,0,0,0,0,0,0,0
2023,"XI",FALSE,"Порушення правил безпеки дорожнього  руху або експлуатації транспорту особами,  які керують транспортними засобами, ст. 286","286",0,0,0,0,0,11,0,31,13
2023,"XI",FALSE,"Незаконне заволодіння транспортним засобом, ст. 289","289",98,37,2,6,6,26,3,91,59
2023,"XI",FALSE,"Знищення, підробка або заміна номерів вузлів та агрегатів транспортного  засобу, ст. 290*","290",1,0,0,0,0,0,0,1,0
2023,"XII",TRUE,"Кримінальні правопорушення проти громадського порядку та моральності  (р. XІІ Кримінального кодексу України )",NA,196,79,0,18,2,58,1,63,33
2023,"XII",FALSE,"Хуліганство, ст. 296","296",99,5,0,8,2,54,1,37,19
2023,"XII",FALSE,"Наруга над могилою, іншим місцем поховання або над тілом померлого,  ст. 297","297",0,0,0,0,0,1,0,5,1
2023,"XII",FALSE,"Жорстоке поводження з тваринами, ст. 299","299",0,0,0,0,0,1,0,0,0
2023,"XII",FALSE,"Ввезення, виготовлення, збут і розповсюдження порнографічних предметів, ст. 301","301",17,10,0,0,0,0,0,3,1
2023,"XII",FALSE,"Створення або утримання місць розпусти і звідництво, ст. 302","302",43,37,0,0,0,0,0,3,0
2023,"XII",FALSE,"Сутенерство або втягнення особи в заняття проституцією, ст. 303","303",60,54,0,0,0,0,0,1,1
2023,"XII",FALSE,"Втягнення неповнолітніх у протиправну діяльність, ст. 304","304",11,3,0,10,0,1,0,4,2
2023,"XIII",TRUE,"Кримінальні правопорушення у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші кримінальні правопорушення проти здоров'я населення (р. XІІІ Кримінального кодексу України )",NA,580,349,35,15,0,10,77,759,460
